id,youtube_id,player,sex,club,view,slow,events,bbox,split,processed_video_path
390,XWN7QsyebEs,NICOLE CASTRALE,f,driver,other,0,[452 645 662 666 674 679 682 685 702 735],[0.2671875  0.19722222 0.3328125  0.6625    ],4,processed_videos/NICOLE_CASTRALE_XWN7QsyebEs_92375115-6c64-42c0-99bb-e642856b3124.mp4
391,XWN7QsyebEs,NICOLE CASTRALE,f,driver,other,1,[ 795  825  893  907  946  961  973  982 1046 1078],[0.25703125 0.19583333 0.321875   0.68472222],4,processed_videos/NICOLE_CASTRALE_XWN7QsyebEs_c72197fb-6689-497d-8762-16b8e82315e8.mp4
392,Qh2U0AMzDMo,SANDRA GAL,f,driver,face-on,0,[331 497 521 525 538 542 546 548 564 597],[7.50000000e-02 6.94444444e-04 7.41406250e-01 1.00000000e+00],2,processed_videos/SANDRA_GAL_Qh2U0AMzDMo_4dc722c2-7b1d-4909-a1b4-65dcf1b04769.mp4
393,Qh2U0AMzDMo,SANDRA GAL,f,driver,face-on,1,[ 841  877  954  969 1023 1039 1053 1063 1120 1152],[7.57812500e-02 6.94444444e-04 7.17187500e-01 9.95138889e-01],2,processed_videos/SANDRA_GAL_Qh2U0AMzDMo_22400e29-c4b5-44b8-b3b1-52fb79264b89.mp4
394,v-vaBl6li0k,SEAN OHAIR,m,iron,down-the-line,0,[252 416 428 432 440 445 448 450 465 502],[2.07031250e-01 6.94444444e-04 4.07812500e-01 9.85416667e-01],1,processed_videos/SEAN_OHAIR_v-vaBl6li0k_37f6de82-60f7-4af2-9663-641dfe82c8d2.mp4
395,v-vaBl6li0k,SEAN OHAIR,m,iron,down-the-line,1,[ 999 1048 1091 1107 1138 1158 1170 1177 1236 1283],[1.96093750e-01 6.94444444e-04 3.57031250e-01 9.79861111e-01],1,processed_videos/SEAN_OHAIR_v-vaBl6li0k_e7ca7f64-a1a7-4e3d-901b-2a9543ff4046.mp4
396,CUpd0izH2Qc,RICKIE FOWLER,m,driver,down-the-line,0,[ 45 250 260 265 272 275 278 280 299 360],[3.90625000e-04 6.94444444e-04 5.80078125e-01 9.86805556e-01],4,processed_videos/RICKIE_FOWLER_CUpd0izH2Qc_d5eecf85-9285-407b-abfd-de02047b7c31.mp4
397,CUpd0izH2Qc,RICKIE FOWLER,m,driver,down-the-line,1,[ 691  752  796  817  844  853  866  874  947 1051],[3.90625000e-04 6.94444444e-04 5.80859375e-01 9.78472222e-01],4,processed_videos/RICKIE_FOWLER_CUpd0izH2Qc_87504fb4-8260-4299-bc17-d718726f36d8.mp4
398,wq-spn_xs_4,NATALIE GULBIS,f,driver,down-the-line,0,[ 53 260 284 287 298 304 307 310 331 392],[0.19140625 0.16527778 0.459375   0.81805556],1,processed_videos/NATALIE_GULBIS_wq-spn_xs_4_c3c2281e-101d-4264-8673-62a7b62f57b0.mp4
399,wq-spn_xs_4,NATALIE GULBIS,f,driver,down-the-line,1,[521 622 708 722 768 793 804 814 883 915],[0.1859375  0.15972222 0.4796875  0.82083333],1,processed_videos/NATALIE_GULBIS_wq-spn_xs_4_f9d46fc2-fb1e-4832-9a12-ba71b1efd649.mp4
400,MhmyMr0nSuo,RETIEF GOOSEN,m,driver,other,0,[181 471 490 495 503 506 510 512 529 590],[4.37500000e-02 6.94444444e-04 8.16406250e-01 1.00000000e+00],3,processed_videos/RETIEF_GOOSEN_MhmyMr0nSuo_09c0dcd0-305c-4b22-acc2-37e8d158a64a.mp4
401,MhmyMr0nSuo,RETIEF GOOSEN,m,driver,other,1,[ 695  771  838  862  892  906  920  928  995 1027],[6.64062500e-02 6.94444444e-04 7.97656250e-01 1.00000000e+00],3,processed_videos/RETIEF_GOOSEN_MhmyMr0nSuo_a4d71ce8-7976-42d3-80a2-429b0c4530a9.mp4
402,f243G2yjCbM,BILLY ANDRADE,m,driver,down-the-line,0,[391 566 577 582 593 599 602 604 623 661],[1.20312500e-01 6.94444444e-04 5.21093750e-01 9.85416667e-01],3,processed_videos/BILLY_ANDRADE_f243G2yjCbM_e772681a-f917-4e00-9df0-24dd417343e9.mp4
403,f243G2yjCbM,BILLY ANDRADE,m,driver,down-the-line,1,[ 953  997 1041 1061 1103 1126 1139 1148 1211 1273],[1.35156250e-01 6.94444444e-04 5.27343750e-01 1.00000000e+00],3,processed_videos/BILLY_ANDRADE_f243G2yjCbM_850bdf5c-448f-4f9e-b7cf-49d24a72c5e1.mp4
404,PgGPF4QAye4,BRENDAN STEELE,m,driver,other,0,[196 423 436 441 451 454 457 459 475 537],[0.1859375  0.2625     0.3125     0.70138889],2,processed_videos/BRENDAN_STEELE_PgGPF4QAye4_7d9741e5-5815-445f-ab42-37ca883f1af5.mp4
405,PgGPF4QAye4,BRENDAN STEELE,m,driver,other,1,[ 811  853  901  918  956  974  985  993 1046 1076],[0.1859375  0.26944444 0.30546875 0.66666667],2,processed_videos/BRENDAN_STEELE_PgGPF4QAye4_0ab4f842-5a8d-4ac3-a953-86f9a2e93523.mp4
406,__195BaMIGc,RICKIE FOWLER,m,iron,down-the-line,0,[271 638 646 651 657 660 663 666 687 717],[0.196875   0.04305556 0.3453125  0.83888889],4,processed_videos/RICKIE_FOWLER___195BaMIGc_d59e83f0-c960-4579-a9b8-d0dc2d256e02.mp4
407,__195BaMIGc,RICKIE FOWLER,m,iron,down-the-line,1,[ 807  832  864  881  906  919  931  946 1015 1075],[0.2265625  0.03611111 0.33203125 0.85694444],4,processed_videos/RICKIE_FOWLER___195BaMIGc_9731615e-c02e-498a-b409-d84e5bfc0fc5.mp4
408,GVHFZw_NfB8,MICHELLE WIE,f,driver,face-on,0,[541 783 795 801 807 810 814 816 834 900],[1.32812500e-01 6.94444444e-04 6.67968750e-01 9.74305556e-01],1,processed_videos/MICHELLE_WIE_GVHFZw_NfB8_92638f6f-2783-4a79-b07b-22a561c3fd6e.mp4
409,GVHFZw_NfB8,MICHELLE WIE,f,driver,face-on,1,[1171 1217 1261 1284 1309 1322 1336 1344 1416 1478],[1.17968750e-01 6.94444444e-04 7.25781250e-01 9.92361111e-01],1,processed_videos/MICHELLE_WIE_GVHFZw_NfB8_45784fc1-cc19-491d-a5a8-21cfd9126f48.mp4
410,oQWoOOhxbyg,BROOKE HENDERSON,f,driver,down-the-line,0,[425 762 781 786 795 799 803 806 818 885],[8.59375000e-02 6.94444444e-04 5.10156250e-01 9.90972222e-01],2,processed_videos/BROOKE_HENDERSON_oQWoOOhxbyg_768c2796-05f0-42c0-9baa-20d8f1f50939.mp4
411,oQWoOOhxbyg,BROOKE HENDERSON,f,driver,down-the-line,1,[1134 1211 1283 1301 1339 1356 1372 1380 1429 1461],[1.11718750e-01 6.94444444e-04 4.76562500e-01 9.92361111e-01],2,processed_videos/BROOKE_HENDERSON_oQWoOOhxbyg_f0fd7420-5403-4a4b-b5e7-2ecee00eebf9.mp4
412,pq6P1kIYffU,BUD CAULEY,m,driver,down-the-line,0,[587 807 818 821 829 834 837 839 855 919],[0.1765625  0.2875     0.3078125  0.68055556],4,processed_videos/BUD_CAULEY_pq6P1kIYffU_b4f69095-9a8b-417c-9f2d-9afa752677ce.mp4
413,pq6P1kIYffU,BUD CAULEY,m,driver,down-the-line,1,[1086 1145 1184 1199 1230 1250 1260 1268 1319 1354],[0.1625     0.37916667 0.3484375  0.60416667],4,processed_videos/BUD_CAULEY_pq6P1kIYffU_1e6e891e-b378-4dce-bdd0-f5f9e48cdb76.mp4
414,kjkYcewfta4,JUSTIN ROSE,m,driver,other,0,[151 323 344 350 358 362 365 367 386 448],[0.2421875  0.09444444 0.559375   0.89444444],1,processed_videos/JUSTIN_ROSE_kjkYcewfta4_5886c9db-4b08-4783-b3c2-4cbf54720f2f.mp4
415,kjkYcewfta4,JUSTIN ROSE,m,driver,other,1,[ 734  751  839  863  892  910  923  931 1004 1035],[0.275      0.17361111 0.52890625 0.81944444],1,processed_videos/JUSTIN_ROSE_kjkYcewfta4_42763769-8fc4-466d-85b3-dd788c4aa0f7.mp4
416,F9hnIw0ZeDE,DANIELLE KANG,f,iron,face-on,0,[200 396 411 415 422 427 430 433 452 491],[0.21015625 0.00555556 0.63828125 0.95694444],2,processed_videos/DANIELLE_KANG_F9hnIw0ZeDE_b1a9655c-c625-4fcf-82c1-4500b4a70995.mp4
417,F9hnIw0ZeDE,DANIELLE KANG,f,iron,face-on,1,[ 804  849  906  922  953  970  983  994 1069 1099],[0.2140625  0.03888889 0.64453125 0.92222222],2,processed_videos/DANIELLE_KANG_F9hnIw0ZeDE_7e71e2ff-461d-437e-8735-c889572f6caf.mp4
418,SNAEPfUTGdQ,DARREN CLARKE,m,fairway,down-the-line,0,[258 384 393 398 404 408 411 413 430 496],[0.1171875  0.02916667 0.509375   0.96527778],1,processed_videos/DARREN_CLARKE_SNAEPfUTGdQ_b1a9dc6a-9cc9-4f27-8677-d422026f7c85.mp4
419,SNAEPfUTGdQ,DARREN CLARKE,m,fairway,down-the-line,1,[693 751 785 801 828 844 855 864 928 989],[1.27343750e-01 6.94444444e-04 5.29687500e-01 9.99305556e-01],1,processed_videos/DARREN_CLARKE_SNAEPfUTGdQ_4cc129e8-2e00-49a6-aec5-f401fd07f5e1.mp4
420,tK7IAn-3X9Y,SUN YOUNG YOO,f,driver,face-on,0,[240 371 393 398 408 413 416 419 441 510],[5.62500000e-02 6.94444444e-04 8.60937500e-01 1.00000000e+00],2,processed_videos/SUN_YOUNG_YOO_tK7IAn-3X9Y_5af3ee67-d403-462b-8974-9550326b9045.mp4
421,tK7IAn-3X9Y,SUN YOUNG YOO,f,driver,face-on,1,[ 750  807  890  910  947  967  982  991 1080 1141],[5.78125000e-02 6.94444444e-04 8.78125000e-01 1.00000000e+00],2,processed_videos/SUN_YOUNG_YOO_tK7IAn-3X9Y_5ee98ac0-e2bb-4c3e-b0da-70376b7ceb7e.mp4
422,2C_7unRNoHo,TOM LEHMAN,m,driver,face-on,0,[331 658 669 672 679 682 685 687 701 741],[3.90625000e-04 6.94444444e-04 5.00390625e-01 9.95138889e-01],1,processed_videos/TOM_LEHMAN_2C_7unRNoHo_b243c38a-8cd0-42f8-9035-ad5c04b93f33.mp4
423,2C_7unRNoHo,TOM LEHMAN,m,driver,face-on,0,[561 657 669 672 678 682 685 687 699 742],[5.03125000e-01 6.94444444e-04 4.97265625e-01 9.99305556e-01],1,processed_videos/TOM_LEHMAN_2C_7unRNoHo_584b8784-1580-4fa9-8e5d-c74bf5caeafc.mp4
424,2C_7unRNoHo,TOM LEHMAN,m,driver,face-on,1,[1031 1101 1145 1158 1185 1197 1211 1219 1274 1338],[3.90625000e-04 6.94444444e-04 4.94921875e-01 9.90972222e-01],1,processed_videos/TOM_LEHMAN_2C_7unRNoHo_721aec22-b5d9-4d30-803a-0cc1a2256051.mp4
425,2C_7unRNoHo,TOM LEHMAN,m,driver,face-on,1,[1042 1104 1145 1159 1184 1197 1211 1219 1266 1297],[5.03125000e-01 6.94444444e-04 4.97265625e-01 1.00000000e+00],1,processed_videos/TOM_LEHMAN_2C_7unRNoHo_8a12e683-560b-4b47-b925-1a40771ac6b0.mp4
426,oczf2GA5lSM,BO VAN PELT,m,driver,down-the-line,0,[324 495 509 512 518 522 525 527 547 610],[1.53125000e-01 6.94444444e-04 5.32031250e-01 9.95138889e-01],3,processed_videos/BO_VAN_PELT_oczf2GA5lSM_b35e7eec-f918-4577-a68b-e8e99b3c7ac2.mp4
427,oczf2GA5lSM,BO VAN PELT,m,driver,down-the-line,1,[ 997 1040 1090 1103 1127 1142 1153 1162 1215 1250],[9.60937500e-02 6.94444444e-04 6.14843750e-01 9.96527778e-01],3,processed_videos/BO_VAN_PELT_oczf2GA5lSM_bb936916-0552-4084-854e-154c358ed4b6.mp4
428,Lqjwqeo2Qms,MARK MOULAND,m,driver,other,0,[ 52  90 105 109 117 121 125 127 144 208],[0.115625   0.10416667 0.428125   0.77916667],2,processed_videos/MARK_MOULAND_Lqjwqeo2Qms_3df12410-0b0c-40ef-abd4-5f24ed3541b6.mp4
429,Lqjwqeo2Qms,MARK MOULAND,m,driver,other,1,[256 297 349 366 398 415 430 438 498 558],[0.0921875  0.02222222 0.50078125 0.8625    ],2,processed_videos/MARK_MOULAND_Lqjwqeo2Qms_12bbe2e0-8b1b-4e79-bd8a-cb17caaadb6a.mp4
430,6Ezc-VDPVGk,INBEE PARK,f,driver,down-the-line,0,[ 62 171 194 203 216 220 224 226 250 313],[3.90625000e-04 6.94444444e-04 4.13671875e-01 9.21527778e-01],3,processed_videos/INBEE_PARK_6Ezc-VDPVGk_119c870d-7ae1-41e7-90e8-0cc975f2d2df.mp4
431,6Ezc-VDPVGk,AI MIYAZATO,f,driver,down-the-line,0,[ 80 151 180 188 212 220 224 226 260 329],[4.98437500e-01 6.94444444e-04 4.75781250e-01 9.36805556e-01],3,processed_videos/AI_MIYAZATO_6Ezc-VDPVGk_edb66be1-fa28-4685-a6b0-ab167c9a64bc.mp4
432,6Ezc-VDPVGk,AI MIYAZATO,f,driver,down-the-line,1,[419 449 563 585 688 721 733 744 868 898],[5.02343750e-01 6.94444444e-04 4.64062500e-01 9.34027778e-01],3,processed_videos/AI_MIYAZATO_6Ezc-VDPVGk_cdebf455-a7fb-49ad-821e-2343786b2d43.mp4
433,6Ezc-VDPVGk,INBEE PARK,f,driver,down-the-line,1,[456 523 615 651 702 720 735 743 832 892],[3.90625000e-04 6.94444444e-04 4.34765625e-01 8.86805556e-01],3,processed_videos/INBEE_PARK_6Ezc-VDPVGk_43142959-e1d9-4768-b884-0ca1cb69c2c7.mp4
434,XIzyJGDBuqc,FRED COUPLES,m,driver,face-on,0,[271 404 421 426 436 440 443 445 468 528],[1.87500000e-01 6.94444444e-04 6.44531250e-01 9.50694444e-01],4,processed_videos/FRED_COUPLES_XIzyJGDBuqc_e7bab0b5-6cf2-4b2e-9da8-0b7175868d04.mp4
435,XIzyJGDBuqc,FRED COUPLES,m,fairway,face-on,0,[ 862 1041 1051 1055 1066 1070 1074 1075 1100 1190],[1.57031250e-01 6.94444444e-04 7.34375000e-01 1.00000000e+00],4,processed_videos/FRED_COUPLES_XIzyJGDBuqc_1ad0a3be-5cad-4745-8b19-08e2f2f54c4b.mp4
436,XIzyJGDBuqc,FRED COUPLES,m,iron,other,0,[1395 1544 1555 1560 1567 1572 1576 1578 1611 1671],[0.21953125 0.03333333 0.60234375 0.87916667],4,processed_videos/FRED_COUPLES_XIzyJGDBuqc_4d9d7ccd-d7c6-4a4e-82e3-5e1c817a60b1.mp4
437,XIzyJGDBuqc,FRED COUPLES,m,driver,down-the-line,0,[2121 2327 2337 2341 2352 2356 2359 2361 2385 2445],[0.12578125 0.03333333 0.5265625  0.92222222],4,processed_videos/FRED_COUPLES_XIzyJGDBuqc_a3a82bef-545d-4648-9b9b-94ee2c946a5a.mp4
438,XIzyJGDBuqc,FRED COUPLES,m,iron,other,0,[2895 3069 3079 3084 3093 3098 3101 3103 3129 3189],[0.284375   0.15277778 0.46953125 0.81527778],4,processed_videos/FRED_COUPLES_XIzyJGDBuqc_7e4c3001-96ba-4380-add7-77ac28c8d342.mp4
439,XIzyJGDBuqc,FRED COUPLES,m,fairway,face-on,0,[3369 3426 3442 3446 3457 3462 3465 3467 3486 3554],[2.28125000e-01 6.94444444e-04 6.05468750e-01 9.34027778e-01],4,processed_videos/FRED_COUPLES_XIzyJGDBuqc_ca9aab21-d36e-4fb3-88a1-5aa6e6bda9df.mp4
440,XIzyJGDBuqc,FRED COUPLES,m,driver,face-on,0,[4034 4279 4298 4302 4313 4317 4321 4323 4352 4386],[1.04687500e-01 6.94444444e-04 7.50781250e-01 9.77083333e-01],4,processed_videos/FRED_COUPLES_XIzyJGDBuqc_43788b0f-8b49-47da-a880-98b1d2e66657.mp4
441,XIzyJGDBuqc,FRED COUPLES,m,iron,down-the-line,0,[5376 5776 5785 5789 5799 5804 5808 5810 5828 5853],[0.19765625 0.05277778 0.325      0.9125    ],4,processed_videos/FRED_COUPLES_XIzyJGDBuqc_345404e3-bd18-494f-8506-534bf04f374c.mp4
442,XIzyJGDBuqc,FRED COUPLES,m,driver,face-on,0,[6460 6473 6491 6494 6505 6509 6513 6514 6535 6595],[1.64843750e-01 6.94444444e-04 6.92968750e-01 9.50694444e-01],4,processed_videos/FRED_COUPLES_XIzyJGDBuqc_ac55dd28-7224-49ac-8faa-5b184de61ad2.mp4
443,XIzyJGDBuqc,FRED COUPLES,m,driver,down-the-line,1,[9035 9095 9131 9146 9191 9207 9219 9227 9301 9361],[0.15546875 0.01805556 0.446875   0.93611111],4,processed_videos/FRED_COUPLES_XIzyJGDBuqc_2959ae2e-cccd-4fe1-a7ca-602a5e3d3e7f.mp4
444,XIzyJGDBuqc,FRED COUPLES,m,fairway,face-on,1,[11311 11344 11409 11424 11467 11484 11497 11504 11580 11614],[1.44531250e-01 6.94444444e-04 7.14843750e-01 9.56250000e-01],4,processed_videos/FRED_COUPLES_XIzyJGDBuqc_1a053391-b3a0-4fa5-92d1-6959a90f84ce.mp4
445,XIzyJGDBuqc,FRED COUPLES,m,hybrid,face-on,1,[13732 13755 13798 13815 13859 13875 13888 13895 13970 14002],[2.28125000e-01 6.94444444e-04 6.00781250e-01 9.03472222e-01],4,processed_videos/FRED_COUPLES_XIzyJGDBuqc_48651198-0aa8-464d-802c-e900772042b9.mp4
446,XIzyJGDBuqc,FRED COUPLES,m,iron,down-the-line,1,[16042 16060 16095 16110 16151 16169 16182 16191 16279 16312],[0.21640625 0.06527778 0.2921875  0.89444444],4,processed_videos/FRED_COUPLES_XIzyJGDBuqc_9a9666f8-b104-4369-ac26-72edbff30e4d.mp4
447,XIzyJGDBuqc,FRED COUPLES,m,driver,face-on,1,[18382 18423 18465 18482 18525 18542 18555 18562 18650 18680],[1.10937500e-01 6.94444444e-04 7.54687500e-01 9.84027778e-01],4,processed_videos/FRED_COUPLES_XIzyJGDBuqc_2a3dd857-98ab-4078-93d1-bc5118375f10.mp4
448,UoOjJEcRRlU,J B HOLMES,m,fairway,down-the-line,0,[436 521 532 536 543 548 551 553 573 636],[9.29687500e-02 6.94444444e-04 5.22656250e-01 1.00000000e+00],2,processed_videos/J_B_HOLMES_UoOjJEcRRlU_6b79bedd-7964-4de9-84d3-fac2917fee11.mp4
449,UoOjJEcRRlU,J B HOLMES,m,fairway,down-the-line,1,[1037 1111 1150 1166 1200 1216 1226 1234 1312 1373],[1.08593750e-01 6.94444444e-04 4.91406250e-01 9.71527778e-01],2,processed_videos/J_B_HOLMES_UoOjJEcRRlU_f9456fb7-1556-4380-9b96-1900d4f7e1f1.mp4
450,WuSY5JFAZJ0,MIKE WEIR,m,driver,other,0,[340 709 719 724 731 735 738 740 760 822],[0.26953125 0.31666667 0.3046875  0.61527778],3,processed_videos/MIKE_WEIR_WuSY5JFAZJ0_d012a2a3-0127-4fa4-b1de-5c52f1de6d2f.mp4
451,WuSY5JFAZJ0,MIKE WEIR,m,driver,other,1,[ 962 1002 1042 1064 1090 1107 1119 1129 1203 1293],[0.23359375 0.28194444 0.33984375 0.62777778],3,processed_videos/MIKE_WEIR_WuSY5JFAZJ0_fb5dff64-0211-459c-a579-edec4d613a88.mp4
452,xMlz2gmivv8,LYDIA KO,f,driver,down-the-line,0,[ 94 201 219 226 237 242 245 248 274 334],[1.41406250e-01 6.94444444e-04 4.93750000e-01 9.90972222e-01],1,processed_videos/LYDIA_KO_xMlz2gmivv8_6b77f6f0-4668-4f10-9ef5-b3ad3c580758.mp4
453,xMlz2gmivv8,LYDIA KO,f,driver,down-the-line,1,[544 634 668 681 703 714 721 725 757 817],[0.16328125 0.04027778 0.446875   0.9375    ],1,processed_videos/LYDIA_KO_xMlz2gmivv8_665029ff-b335-4fa0-a30f-7d952046276e.mp4
454,tGh7Mt0cPhU,GRAEME MCDOWELL,m,driver,other,0,[121 431 443 448 454 457 460 462 475 538],[1.57031250e-01 6.94444444e-04 6.34375000e-01 9.52083333e-01],4,processed_videos/GRAEME_MCDOWELL_tGh7Mt0cPhU_b2829830-df2f-4781-b70d-4094394fd471.mp4
455,tGh7Mt0cPhU,GRAEME MCDOWELL,m,driver,other,1,[718 750 790 813 835 846 860 866 910 951],[1.71093750e-01 6.94444444e-04 6.25000000e-01 9.81250000e-01],4,processed_videos/GRAEME_MCDOWELL_tGh7Mt0cPhU_fe7e797e-769e-4271-9007-90574732a0c3.mp4
456,jbB8LaUIq1c,ADAM SCOTT,m,driver,face-on,0,[1414 1725 1736 1740 1748 1752 1755 1757 1776 1808],[7.18750000e-02 6.94444444e-04 8.04687500e-01 9.75694444e-01],4,processed_videos/ADAM_SCOTT_jbB8LaUIq1c_cecdd8b6-5d8d-4c15-9664-ddc1dcca3e51.mp4
457,jbB8LaUIq1c,ADAM SCOTT,m,driver,face-on,1,[2078 2109 2155 2171 2202 2220 2232 2239 2303 2335],[9.53125000e-02 6.94444444e-04 7.63281250e-01 9.90972222e-01],4,processed_videos/ADAM_SCOTT_jbB8LaUIq1c_93998262-b0c7-4f4e-b089-9bba34bcec7c.mp4
458,OxZMxqM-_O8,BILLY HURLEY III,m,driver,down-the-line,0,[391 559 569 574 582 585 588 590 610 673],[3.90625000e-04 6.94444444e-04 6.61328125e-01 9.96527778e-01],2,processed_videos/BILLY_HURLEY_III_OxZMxqM-_O8_e7e262da-6511-44d2-bd4c-7e57cdfe7725.mp4
459,OxZMxqM-_O8,BILLY HURLEY III,m,driver,down-the-line,1,[ 881  943  981 1001 1032 1047 1058 1066 1136 1196],[3.90625000e-04 6.94444444e-04 6.47265625e-01 1.00000000e+00],2,processed_videos/BILLY_HURLEY_III_OxZMxqM-_O8_0de75e2a-606f-49c4-8dfc-018c5bb66a1f.mp4
460,k6z8d8aYCCI,RICKIE FOWLER,m,driver,other,0,[ 50 124 133 137 143 147 150 152 168 210],[0.23203125 0.1125     0.55859375 0.85277778],1,processed_videos/RICKIE_FOWLER_k6z8d8aYCCI_9c154146-7e2c-4c61-990a-2cfc98b6cc9c.mp4
461,k6z8d8aYCCI,RICKIE FOWLER,m,driver,other,1,[330 391 425 441 467 479 490 498 558 620],[0.24140625 0.11805556 0.55234375 0.85      ],1,processed_videos/RICKIE_FOWLER_k6z8d8aYCCI_b856800d-f747-46e2-89ec-e1849820e722.mp4
462,RYylCwgEBSM,AUSTIN ERNST,f,driver,face-on,0,[111 279 290 294 301 307 310 312 333 373],[3.90625000e-04 6.94444444e-04 8.34765625e-01 9.86805556e-01],3,processed_videos/AUSTIN_ERNST_RYylCwgEBSM_6c89f9f8-cdbe-427e-800d-98609d3b3f01.mp4
463,RYylCwgEBSM,AUSTIN ERNST,f,driver,face-on,1,[553 598 638 651 684 705 718 727 798 858],[2.34375000e-03 6.94444444e-04 8.04687500e-01 9.95138889e-01],3,processed_videos/AUSTIN_ERNST_RYylCwgEBSM_8b825d47-220a-4d38-9880-571121f15879.mp4
464,shPjhu1kxEE,BRAD FAXON,m,fairway,down-the-line,0,[185 415 431 435 443 448 451 453 471 507],[1.59375000e-01 6.94444444e-04 4.42187500e-01 9.77083333e-01],4,processed_videos/BRAD_FAXON_shPjhu1kxEE_d7a7c432-9250-4434-b4f5-799b245784ed.mp4
465,shPjhu1kxEE,BRAD FAXON,m,fairway,down-the-line,1,[ 856  885  932  948  982  999 1012 1020 1087 1117],[1.54687500e-01 6.94444444e-04 4.54687500e-01 9.75694444e-01],4,processed_videos/BRAD_FAXON_shPjhu1kxEE_812ac265-5dae-49dc-815b-060574c32bd0.mp4
466,kWP9cqmiTys,MARC LEISHMAN,m,iron,other,0,[241 542 551 556 563 567 570 573 600 660],[2.25781250e-01 6.94444444e-04 3.36718750e-01 8.81250000e-01],4,processed_videos/MARC_LEISHMAN_kWP9cqmiTys_567a0cdf-ef25-4bcd-be7a-043d1306dba5.mp4
467,kWP9cqmiTys,MARC LEISHMAN,m,iron,other,1,[ 798  838  873  892  919  936  949  958 1047 1077],[2.58593750e-01 6.94444444e-04 2.91406250e-01 8.84027778e-01],4,processed_videos/MARC_LEISHMAN_kWP9cqmiTys_90b41f9d-cd4d-4d37-a765-c41e78f36c8d.mp4
468,WoUmJvrnAnc,JOHN SENDEN,m,driver,down-the-line,0,[301 490 502 506 513 515 518 520 548 608],[1.45312500e-01 6.94444444e-04 4.82031250e-01 9.99305556e-01],4,processed_videos/JOHN_SENDEN_WoUmJvrnAnc_d2b1f1ad-1aa4-4de8-9826-ac95b8d306b0.mp4
469,WoUmJvrnAnc,JOHN SENDEN,m,driver,down-the-line,1,[ 709  759  801  818  843  853  865  875  970 1030],[1.45312500e-01 6.94444444e-04 4.83593750e-01 9.99305556e-01],4,processed_videos/JOHN_SENDEN_WoUmJvrnAnc_8916c005-254a-44d4-8ec8-0284d0e59812.mp4
470,a_vXMK97Jnc,DANIEL BERGER,m,driver,down-the-line,0,[301 590 603 608 616 623 625 627 643 703],[5.54687500e-02 6.94444444e-04 5.55468750e-01 1.00000000e+00],3,processed_videos/DANIEL_BERGER_a_vXMK97Jnc_89f4ad51-6670-45c3-a934-27ab46f32f0d.mp4
471,a_vXMK97Jnc,DANIEL BERGER,m,driver,down-the-line,1,[ 913  970 1016 1038 1068 1096 1107 1114 1172 1224],[8.35937500e-02 6.94444444e-04 5.58593750e-01 9.96527778e-01],3,processed_videos/DANIEL_BERGER_a_vXMK97Jnc_9680a400-47fb-4d85-b90e-39c844697d51.mp4
472,ZivMJ6nSS-E,TONY FINAU,m,iron,down-the-line,0,[361 761 775 780 785 788 791 793 809 844],[2.72656250e-01 6.94444444e-04 3.47656250e-01 9.59027778e-01],1,processed_videos/TONY_FINAU_ZivMJ6nSS-E_999a5f80-d62c-4bf2-8a36-e2a87586d55d.mp4
473,ZivMJ6nSS-E,TONY FINAU,m,iron,down-the-line,1,[1294 1354 1415 1434 1455 1465 1478 1485 1554 1630],[2.56250000e-01 6.94444444e-04 3.60156250e-01 9.49305556e-01],1,processed_videos/TONY_FINAU_ZivMJ6nSS-E_439209f1-211e-4414-9947-c2e8f4deee32.mp4
474,vaoD7yodCF4,STACY LEWIS,f,driver,down-the-line,0,[331 472 488 492 501 506 509 511 531 594],[1.35156250e-01 6.94444444e-04 5.29687500e-01 9.46527778e-01],3,processed_videos/STACY_LEWIS_vaoD7yodCF4_5cda304c-da7c-4349-9b3e-5cf031909a89.mp4
475,vaoD7yodCF4,STACY LEWIS,f,driver,down-the-line,1,[ 684  754  807  824  861  881  893  903  962 1024],[1.94531250e-01 6.94444444e-04 4.62500000e-01 9.43750000e-01],3,processed_videos/STACY_LEWIS_vaoD7yodCF4_7d381843-ee13-4b9a-8c00-3ab1d5c6c338.mp4
476,EH1vhzDcrIg,JANE PARK,f,driver,down-the-line,0,[181 280 292 298 307 312 316 319 340 374],[3.90625000e-04 6.94444444e-04 5.95703125e-01 9.92361111e-01],1,processed_videos/JANE_PARK_EH1vhzDcrIg_dac9d3a9-bbe0-4ea2-874b-b90195787e61.mp4
477,EH1vhzDcrIg,JANE PARK,f,driver,down-the-line,1,[484 511 555 577 614 637 651 661 743 774],[3.90625000e-04 6.94444444e-04 5.88671875e-01 1.00000000e+00],1,processed_videos/JANE_PARK_EH1vhzDcrIg_2ccbfc96-60ee-4e5b-bcb5-029a2235eaa2.mp4
478,6X6W_tdjkCU,IN-GEE CHUN,f,iron,down-the-line,0,[301 432 447 453 465 470 473 476 503 533],[1.78125000e-01 6.94444444e-04 4.84375000e-01 9.96527778e-01],4,processed_videos/IN-GEE_CHUN_6X6W_tdjkCU_379758da-1b01-4280-b619-e03c86066bfb.mp4
